iter	RMSE
0	0.8597576579
1	0.8564859526
2	0.8532129291
3	0.849900945
4	0.8467028001
5	0.8434688383
6	0.8402716833
7	0.8371288355
8	0.8339216902
9	0.8307307741
10	0.8276103587
11	0.8244667359
12	0.8214193924
13	0.8183894823
14	0.8153231075
15	0.812244527
16	0.809208049
17	0.8062363732
18	0.8033145111
19	0.8003528384
20	0.7973641039
21	0.7943914594
22	0.7914404428
23	0.7885047875
24	0.7856161439
25	0.7827237959
26	0.7798295558
27	0.7770305688
28	0.7742172482
29	0.7714685704
30	0.7686803796
31	0.7658737535
32	0.763055601
33	0.7603103
34	0.7576080311
35	0.7548714391
36	0.7521376555
37	0.7494511947
38	0.746853978
39	0.7441775337
40	0.7415293829
41	0.7389556561
42	0.7363820176
43	0.7338147917
44	0.7312415378
45	0.7287263003
46	0.7261686272
47	0.7236948862
48	0.7211592103
49	0.7186907645
50	0.7161904765
51	0.7137672414
52	0.7112977555
53	0.7088966931
54	0.7064587316
55	0.7040908872
56	0.7016986088
57	0.6992815224
58	0.6968753964
59	0.6945200257
60	0.6921747104
61	0.6898333598
62	0.6875208629
63	0.6852196764
64	0.6829377428
65	0.6806755416
66	0.6784682601
67	0.6762276034
68	0.6739704452
69	0.6717824708
70	0.6695406911
71	0.6673914487
72	0.6652152714
73	0.6630173519
74	0.6608570539
75	0.6586684075
76	0.6565697984
77	0.6544741897
78	0.6523943093
79	0.6502772878
80	0.6482262428
81	0.6461408645
82	0.6441320021
83	0.6420436298
84	0.6399821978
85	0.6379801167
86	0.63600835
87	0.6339878608
88	0.63196205
89	0.6299834117
90	0.6279806051
91	0.6260433099
92	0.6240812597
93	0.6221207188
94	0.620192064
95	0.6182538382
96	0.6163995355
97	0.6145523093
98	0.6127381265
99	0.6108062993
100	0.6089252871
101	0.6071259234
102	0.6052833149
103	0.6035012083
104	0.6016554754
105	0.5998588685
106	0.5981132067
107	0.5963613331
108	0.5945844492
109	0.5928813309
110	0.5911045388
111	0.5893637454
112	0.5876711758
113	0.586025765
114	0.5843559752
115	0.5827014533
116	0.5810463108
117	0.579322285
118	0.5776777128
119	0.5760811228
120	0.5744791918
121	0.5728108187
122	0.5712610604
123	0.5696688062
124	0.5680737596
125	0.5664617109
126	0.5648862668
127	0.5633191091
128	0.5617071271
129	0.5601600114
130	0.5586362948
131	0.5570678271
132	0.5555211138
133	0.5539742597
134	0.5524605393
135	0.5510252173
136	0.5495816856
137	0.5481060604
138	0.5466261168
139	0.5451556736
140	0.5436958585
141	0.5422070583
142	0.5408090155
143	0.5394506733
144	0.5380442624
145	0.5366866843
146	0.5352794575
147	0.5339093616
148	0.5325536303
149	0.5312490935
150	0.5299082829
151	0.528525297
152	0.5271988968
153	0.525915003
154	0.5246322068
155	0.5232997975
156	0.5219792343
157	0.5206752588
158	0.5193583246
159	0.5180789692
160	0.5167591899
161	0.5155408986
162	0.5143070022
163	0.513017568
164	0.511747647
