iter	Passed	Remaining
0	19	57401
1	37	56035
2	53	53835
3	68	50963
4	87	52615
5	96	48216
6	112	48262
7	130	48715
8	148	49309
9	165	49574
10	178	48606
11	194	48524
12	196	45226
13	212	45317
14	218	43483
15	234	43817
16	243	42794
17	264	43804
18	285	44796
19	303	45235
20	326	46355
21	344	46663
22	364	47188
23	380	47180
24	393	46862
25	409	46787
26	415	45697
27	430	45739
28	443	45390
29	446	44224
30	448	42922
31	449	41730
32	463	41670
33	473	41267
34	476	40374
35	490	40367
36	505	40479
37	520	40541
38	536	40712
39	549	40692
40	551	39825
41	568	40030
42	570	39244
43	584	39290
44	598	39308
45	613	39393
46	626	39339
47	628	38676
48	641	38661
49	657	38803
50	659	38151
51	674	38265
52	691	38434
53	705	38477
54	715	38308
55	729	38327
56	739	38200
57	754	38294
58	769	38371
59	784	38418
60	786	37898
61	800	37938
62	815	38020
63	830	38092
64	843	38083
65	850	37824
66	864	37853
67	878	37898
68	892	37921
69	907	37982
70	921	38028
71	923	37562
72	937	37574
73	950	37596
74	964	37626
75	979	37682
76	993	37710
77	1006	37710
78	1011	37388
79	1024	37407
80	1032	37198
81	1048	37295
82	1060	37277
83	1073	37252
84	1087	37295
85	1102	37358
86	1117	37433
87	1133	37503
88	1148	37580
89	1164	37652
90	1176	37601
91	1190	37641
92	1205	37667
93	1221	37763
94	1236	37803
95	1251	37849
96	1252	37488
97	1268	37569
98	1283	37616
99	1300	37701
100	1314	37742
101	1332	37848
102	1348	37941
103	1362	37951
104	1379	38032
105	1393	38041
106	1395	37737
107	1408	37707
108	1423	37743
109	1424	37424
110	1425	37099
111	1437	37069
112	1451	37077
113	1460	36967
114	1475	37010
115	1488	37015
116	1502	37014
117	1517	37070
118	1533	37117
119	1547	37129
120	1560	37131
121	1563	36880
122	1576	36880
123	1589	36873
124	1604	36908
125	1606	36650
126	1621	36684
127	1634	36670
128	1644	36597
129	1657	36591
130	1669	36565
131	1685	36617
132	1701	36669
133	1717	36729
134	1733	36785
135	1743	36722
136	1757	36724
137	1758	36479
138	1772	36484
139	1785	36470
140	1790	36314
141	1804	36309
142	1805	36064
143	1806	35838
144	1819	35829
145	1820	35592
146	1832	35570
147	1833	35336
148	1835	35129
149	1850	35153
150	1864	35180
151	1878	35203
152	1880	34995
153	1882	34796
154	1898	34844
155	1914	34895
156	1915	34681
157	1917	34498
158	1931	34508
159	1945	34538
160	1961	34587
161	1962	34380
162	1977	34418
163	1992	34458
164	2005	34461
165	2007	34269
166	2008	34075
167	2022	34097
168	2038	34139
169	2052	34163
170	2065	34165
171	2073	34093
172	2089	34146
173	2096	34049
174	2112	34096
175	2127	34144
176	2129	33956
177	2130	33781
178	2144	33803
179	2160	33841
180	2161	33672
181	2178	33729
182	2195	33789
183	2201	33690
184	2214	33703
185	2230	33747
186	2245	33783
187	2261	33830
188	2269	33758
189	2283	33775
190	2287	33645
191	2301	33657
192	2315	33677
193	2319	33555
194	2335	33602
195	2347	33580
196	2362	33608
197	2363	33453
198	2376	33455
199	2390	33470
200	2392	33318
201	2407	33350
202	2413	33251
203	2427	33273
204	2428	33114
205	2431	32978
206	2445	32999
207	2447	32852
208	2449	32706
209	2450	32561
210	2462	32547
211	2477	32585
212	2479	32444
213	2493	32463
214	2497	32348
215	2498	32202
216	2499	32059
217	2511	32053
218	2526	32078
219	2540	32105
220	2555	32131
221	2556	31986
222	2557	31847
223	2561	31740
224	2562	31599
225	2576	31626
226	2592	31663
227	2608	31714
228	2623	31750
229	2639	31783
230	2640	31657
231	2641	31520
232	2656	31551
233	2670	31567
234	2686	31606
235	2688	31486
236	2691	31383
237	2693	31254
238	2708	31294
239	2723	31318
240	2739	31361
241	2754	31394
242	2769	31423
243	2777	31367
244	2793	31410
245	2810	31466
246	2812	31343
247	2813	31225
248	2815	31104
249	2826	31090
250	2842	31132
251	2844	31013
252	2845	30891
253	2846	30774
254	2847	30653
255	2848	30536
256	2860	30531
257	2861	30415
258	2874	30418
259	2875	30301
260	2883	30264
261	2887	30179
262	2890	30086
263	2905	30113
264	2922	30163
265	2939	30211
266	2948	30183
267	2951	30085
268	2966	30120
269	2967	30007
270	2981	30022
271	2994	30035
272	3006	30035
273	3008	29930
274	3009	29820
275	3022	29826
276	3037	29862
277	3039	29761
278	3043	29686
279	3045	29589
280	3047	29484
281	3048	29384
282	3064	29416
283	3080	29455
284	3094	29482
285	3097	29391
286	3111	29410
287	3125	29430
288	3139	29449
289	3154	29475
290	3169	29502
291	3170	29403
292	3185	29434
293	3201	29467
294	3218	29516
295	3220	29422
296	3235	29448
297	3237	29353
298	3243	29295
299	3254	29289
300	3263	29265
301	3279	29296
302	3280	29203
303	3296	29231
304	3309	29242
305	3320	29235
306	3335	29256
307	3336	29159
308	3338	29072
309	3353	29099
310	3354	29006
311	3356	28921
312	3371	28947
313	3384	28951
314	3405	29025
315	3407	28943
316	3421	28959
317	3423	28871
318	3437	28891
319	3440	28814
320	3441	28725
321	3458	28764
322	3476	28812
323	3494	28862
324	3510	28895
325	3514	28824
326	3515	28733
327	3516	28643
328	3521	28591
329	3537	28618
330	3551	28636
331	3568	28675
332	3582	28695
333	3599	28731
334	3613	28749
335	3632	28798
336	3649	28839
337	3651	28757
338	3668	28799
339	3684	28825
340	3701	28864
341	3714	28868
342	3730	28896
343	3746	28929
344	3748	28843
345	3762	28861
346	3779	28897
347	3796	28930
348	3798	28851
349	3801	28784
350	3814	28785
351	3815	28706
352	3829	28715
353	3845	28742
354	3862	28777
355	3863	28697
356	3881	28737
357	3897	28765
358	3913	28787
359	3930	28823
360	3935	28767
361	3949	28781
362	3952	28710
363	3966	28722
364	3967	28643
365	3972	28587
366	3985	28593
367	4000	28613
368	4014	28620
369	4015	28541
370	4020	28492
371	4021	28412
372	4037	28436
373	4038	28358
374	4044	28313
375	4046	28237
376	4047	28162
377	4061	28174
378	4063	28099
379	4079	28125
380	4080	28050
381	4084	27989
382	4087	27926
383	4101	27941
384	4118	27973
385	4119	27900
386	4122	27835
387	4137	27854
388	4154	27884
389	4169	27905
390	4171	27831
391	4174	27775
392	4192	27808
393	4208	27836
394	4209	27762
395	4211	27692
396	4228	27721
397	4245	27754
398	4248	27693
399	4261	27702
400	4281	27751
401	4283	27681
402	4284	27611
403	4300	27631
404	4316	27659
405	4318	27588
406	4319	27516
407	4320	27449
408	4337	27477
409	4338	27406
410	4348	27391
411	4349	27323
412	4365	27345
413	4378	27352
414	4394	27371
415	4395	27303
416	4407	27298
417	4408	27231
418	4409	27163
419	4414	27116
420	4425	27107
421	4440	27124
422	4455	27144
423	4472	27173
424	4490	27209
425	4507	27233
426	4508	27166
427	4523	27182
428	4536	27189
429	4538	27124
430	4544	27084
431	4560	27110
432	4573	27115
433	4589	27135
434	4605	27158
435	4610	27111
436	4628	27143
437	4641	27151
438	4658	27175
439	4659	27109
440	4660	27045
441	4676	27064
442	4679	27009
443	4681	26948
444	4696	26967
445	4697	26902
446	4700	26844
447	4701	26779
448	4709	26757
449	4710	26694
450	4711	26630
451	4729	26661
452	4737	26636
453	4752	26654
454	4768	26674
455	4770	26612
456	4785	26628
457	4791	26592
458	4799	26571
459	4809	26555
460	4825	26574
461	4826	26512
462	4837	26508
463	4840	26454
464	4841	26393
465	4853	26390
466	4854	26329
467	4855	26270
468	4856	26209
469	4868	26207
470	4876	26185
471	4890	26195
472	4893	26141
473	4894	26085
474	4908	26090
475	4909	26032
476	4915	26001
477	4917	25942
478	4918	25883
479	4923	25850
480	4936	25850
481	4939	25804
482	4954	25818
483	4961	25789
484	4973	25790
485	4974	25732
486	4975	25675
487	4977	25619
488	4992	25634
489	5004	25637
490	5013	25619
491	5036	25672
492	5059	25728
493	5088	25812
494	5117	25895
495	5118	25842
496	5127	25821
497	5157	25910
498	5184	25987
499	5189	25945
500	5191	25893
501	5215	25951
502	5238	26006
503	5243	25965
504	5250	25939
505	5278	26015
506	5301	26066
507	5315	26072
508	5337	26120
509	5358	26159
510	5379	26200
